City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
441,Morant Bay,JM,86.0,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
446,Sao Jose Da Coroa Grande,BR,84.88,few clouds,-8.9,-35.15,Crôa Mares Hotel
449,Belmonte,BR,82.4,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
454,Manzil Salim,TN,75.2,scattered clouds,35.86,8.48,mohamed ben khlil omri
458,Wattegama,LK,82.4,scattered clouds,6.8,81.48,
459,Chimbote,PE,78.55,clear sky,-9.09,-78.58,Hotel Briliá
462,Nova Gradiska,HR,77.0,clear sky,45.26,17.38,Pansion As
463,Tanda,IN,86.14,broken clouds,26.55,82.65,MUMTAZ GANJ TANDA
464,Samana,DO,82.4,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
467,Birao,CF,87.03,broken clouds,10.28,22.79,
468,Aracati,BR,84.52,overcast clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
471,Kalabo,ZM,75.58,broken clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
473,Khanpur,PK,77.52,scattered clouds,28.65,70.66,Khan Hotel
477,Gaya,IN,86.52,broken clouds,24.78,85.0,Hotel Viraat Inn
481,Veraval,IN,80.74,few clouds,20.9,70.37,Lords Inn Somnath
482,Jaciara,BR,79.23,light rain,-15.97,-54.97,Taba Hotel
483,Mayumba,GA,79.45,overcast clouds,-3.43,10.66,LIKWALE LODGE
485,Harper,LR,82.4,light rain,4.38,-7.72,Cape View Guest House
487,Assare,BR,81.23,moderate rain,-6.87,-39.88,José Xavier de Andrade
490,Vallenar,CL,84.22,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
492,Santa Marta,CO,90.0,light rain,11.24,-74.2,Hotel La Ballena Azul
493,Santa Fe,AR,80.01,clear sky,-31.63,-60.7,Conquistador Hotel
496,Asandh,IN,75.0,light rain,29.52,76.6,TAZ RETAILS
500,Bubaque,GW,78.84,scattered clouds,11.28,-15.83,Casa Dora
501,Mmathubudukwane,BW,82.4,scattered clouds,-24.6,26.43,Gill Sleepover Guesthouse
502,Hit,IQ,79.21,overcast clouds,33.64,42.83,بيت اسماعبل محمد حمد
505,Paracuru,BR,84.2,broken clouds,-3.41,-39.03,Hotel VentoBrasil
506,Gangakher,IN,88.65,scattered clouds,18.95,76.75,AVM Consultancy
507,Takoradi,GH,82.71,light rain,4.88,-1.76,Raybow International Hotel
515,Santa Luzia,BR,82.4,scattered clouds,-19.77,-43.85,Pousada Chao Earth
516,Kulhudhuffushi,MV,85.35,scattered clouds,6.62,73.07,Haajy Guest House 1
518,Doka,SD,87.15,scattered clouds,13.52,35.77,
520,Farafangana,MG,76.39,few clouds,-22.82,47.83,Austral Hotel
524,Nguru,NG,87.91,clear sky,12.88,10.45,Government Lodge
526,Boyuibe,BO,79.34,overcast clouds,-20.42,-63.28,Residencial Eluzai
528,Conde,BR,87.8,broken clouds,-7.26,-34.91,Pousada Beija Flor
