City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Lagoa,39.05,-27.98,58.66,77,100,20.62,PT,2020-04-16 14:37:18
284,Saint-Joseph,-21.37,55.62,78.8,65,10,24.16,RE,2020-04-16 14:37:18
285,Koutiala,12.39,-5.46,103.59,18,6,10.49,ML,2020-04-16 14:37:18
286,Morant Bay,17.88,-76.41,86.0,66,75,6.93,JM,2020-04-16 14:37:18
287,Glamoc,44.05,16.85,57.54,34,34,3.78,BA,2020-04-16 14:37:18
288,Bloomsburg,41.0,-76.45,43.0,37,75,6.93,US,2020-04-16 14:36:16
289,Arlit,18.74,7.39,102.56,6,92,5.84,NE,2020-04-16 14:37:18
290,Zhezkazgan,47.8,67.71,53.96,35,0,8.66,KZ,2020-04-16 14:37:18
291,Ishim,56.11,69.49,51.17,60,87,9.71,RU,2020-04-16 14:37:18
292,Harrogate,53.99,-1.54,66.99,25,0,14.99,GB,2020-04-16 14:34:20
293,Aurillac,44.92,2.45,70.0,42,81,9.17,FR,2020-04-16 14:37:19
294,Paita,-5.09,-81.11,62.6,100,79,19.46,PE,2020-04-16 14:37:19
295,Coihaique,-45.58,-72.07,57.2,87,90,3.0,CL,2020-04-16 14:37:19
296,Cayenne,4.93,-52.33,86.0,66,75,11.41,GF,2020-04-16 14:37:19
297,Uyemskiy,64.47,40.85,39.2,69,75,6.71,RU,2020-04-16 14:37:19
298,Monopoli,40.96,17.29,66.2,27,0,6.93,IT,2020-04-16 14:37:19
299,Maralal,1.1,36.7,73.98,34,87,10.63,KE,2020-04-16 14:37:19
300,Camana,-16.62,-72.71,76.48,63,2,9.73,PE,2020-04-16 14:37:19
301,Sayyan,15.17,44.32,65.34,32,60,0.96,YE,2020-04-16 14:37:19
302,Gopalganj,26.47,84.43,86.97,29,65,9.4,IN,2020-04-16 14:37:19
303,San Andres,12.58,-81.7,84.2,70,40,9.17,CO,2020-04-16 14:37:20
304,Sinnamary,5.38,-52.95,81.95,77,74,9.93,GF,2020-04-16 14:37:20
